DATE,USSTHPI_PC1
1976-01-01,4.63488
1976-04-01,7.44751
1976-07-01,8.86345
1976-10-01,8.08292
1977-01-01,10.67559
1977-04-01,11.02290
1977-07-01,11.71699
1977-10-01,14.83794
1978-01-01,14.64152
1978-04-01,13.80638
1978-07-01,14.54888
1978-10-01,13.30917
1979-01-01,14.78086
1979-04-01,14.14935
1979-07-01,13.22925
1979-10-01,12.30576
1980-01-01,9.40919
1980-04-01,7.60030
1980-07-01,8.32469
1980-10-01,6.40960
1981-01-01,5.25000
1981-04-01,5.72553
1981-07-01,4.18222
1981-10-01,2.83966
1982-01-01,0.97862
1982-04-01,1.37713
1982-07-01,-1.53408
1982-10-01,3.92339
1983-01-01,7.71547
1983-04-01,6.44332
1983-07-01,9.13331
1983-10-01,5.26928
1984-01-01,4.35010
1984-04-01,4.38907
1984-07-01,4.45375
1984-10-01,4.67409
1985-01-01,4.56220
1985-04-01,4.74971
1985-07-01,5.39324
1985-10-01,5.72380
1986-01-01,6.26851
1986-04-01,6.86066
1986-07-01,6.83336
1986-10-01,7.28767
1987-01-01,7.33765
1987-04-01,6.78179
1987-07-01,6.37447
1987-10-01,5.43984
1988-01-01,4.99719
1988-04-01,5.46648
1988-07-01,5.34335
1988-10-01,5.63438
1989-01-01,5.22727
1989-04-01,4.56720
1989-07-01,5.71447
1989-10-01,5.60375
1990-01-01,4.98031
1990-04-01,3.99173
1990-07-01,2.44202
1990-10-01,1.20489
1991-01-01,1.47041
1991-04-01,1.72341
1991-07-01,1.29971
1991-10-01,3.12669
1992-01-01,3.05922
1992-04-01,2.35768
1992-07-01,3.32880
1992-10-01,2.40219
1993-01-01,1.67805
1993-04-01,2.66798
1993-07-01,2.32891
1993-10-01,2.65900
1994-01-01,3.24949
1994-04-01,2.88613
1994-07-01,2.48280
1994-10-01,1.56406
1995-01-01,1.46062
1995-04-01,2.51479
1995-07-01,3.66672
1995-10-01,4.55439
1996-01-01,5.17166
1996-04-01,3.63423
1996-07-01,2.52119
1996-10-01,2.52794
1997-01-01,2.24174
1997-04-01,2.91888
1997-07-01,3.85050
1997-10-01,4.39124
1998-01-01,5.07730
1998-04-01,5.15107
1998-07-01,5.19082
1998-10-01,5.06539
1999-01-01,4.60599
1999-04-01,5.06552
1999-07-01,5.08976
1999-10-01,4.92801
2000-01-01,5.81882
2000-04-01,6.12754
2000-07-01,6.54711
2000-10-01,7.07804
2001-01-01,7.66625
2001-04-01,7.71400
2001-07-01,7.43337
2001-10-01,7.11864
2002-01-01,6.03518
2002-04-01,6.06650
2002-07-01,6.51274
2002-10-01,6.70346
2003-01-01,6.47542
2003-04-01,5.96641
2003-07-01,5.50930
2003-10-01,6.98398
2004-01-01,7.35725
2004-04-01,8.65222
2004-07-01,11.08639
2004-10-01,10.33807
2005-01-01,11.12332
2005-04-01,11.94646
2005-07-01,11.10033
2005-10-01,11.23231
2006-01-01,10.45916
2006-04-01,8.12631
2006-07-01,5.80829
2006-10-01,4.52567
2007-01-01,3.28371
2007-04-01,2.17415
2007-07-01,0.20765
2007-10-01,-1.12789
2008-01-01,-2.21580
2008-04-01,-4.62092
2008-07-01,-6.58059
2008-10-01,-7.13772
2009-01-01,-5.76438
2009-04-01,-5.86939
2009-07-01,-5.35206
2009-10-01,-5.19790
2010-01-01,-7.02014
2010-04-01,-5.36926
2010-07-01,-1.88691
2010-10-01,-1.84681
2011-01-01,-3.41045
2011-04-01,-4.23611
2011-07-01,-4.44356
2011-10-01,-3.31277
2012-01-01,-1.60206
2012-04-01,-0.29705
2012-07-01,0.27241
2012-10-01,0.59019
2013-01-01,2.17623
2013-04-01,4.21322
2013-07-01,4.36909
2013-10-01,4.40519
2014-01-01,4.75514
2014-04-01,5.16470
2014-07-01,5.12938
2014-10-01,5.13973
2015-01-01,5.39173
2015-04-01,5.07949
2015-07-01,5.09176
2015-10-01,5.08783
2016-01-01,4.91297
2016-04-01,5.16577
2016-07-01,5.49642
2016-10-01,5.47934
2017-01-01,5.31764
2017-04-01,5.72223
2017-07-01,5.50169
2017-10-01,5.54918
2018-01-01,6.23901
2018-04-01,5.80201
2018-07-01,5.42398
2018-10-01,4.92406
2019-01-01,4.58950
2019-04-01,4.39138
2019-07-01,4.46460
2019-10-01,5.02012
2020-01-01,5.05855
2020-04-01,4.37152
2020-07-01,4.90469
2020-10-01,6.18305
2021-01-01,7.30335
2021-04-01,11.91364
